item_code,item_description,supplier_name,code
49102725,Stud 64mm X 0.75 Bmt 2725                         ,RONDO,16010
49102735,Stud 64mm X 0.75 Bmt 2735                         ,RONDO,16010
49102740,Stud 64mm X 0.75 Bmt 2740                         ,RONDO,16010
49102770,Stud 64mm X 0.75 Bmt 2770                         ,RONDO,16010
49102850,Stud 64mm X 0.75 Bmt 2850                         ,RONDO,16010
49102865,64mm x 36mm Steel Stud - 0.75 BMT @ 2865mm        ,RONDO,16010
49102880,(spec) - Stud 64mm X 0.75 Bmt 2880                ,RONDO,16010
49102885,Stud 64mm x 0.75 Bmt 2885                         ,RONDO,16010
49102890,64mm x 36mm Steel Stud - 0.75 BMT @ 2890mm        ,RONDO,16010
49102900,Stud 64mm X 0.75 Bmt 2900                         ,RONDO,16010
49102935,64mmx36mm Steel Stud - 0-75bmt @ 2935mm           ,RONDO,16010
49102950,64mm (w) x 36mm (h) Steel Stud - 0.50bmt 2950     ,RONDO,16010
49102985,Stud 64mm X 0.75 Bmt 2985                         ,RONDO,16010
49103000,Stud 64mm X 0.75 Bmt 3000                         ,RONDO,16010
49103135,Stud 64mm X 0.75 Bmt 3135                         ,RONDO,16010
49103200,Stud 64mm X 0.75 Bmt 3200                         ,RONDO,16010
49103600,Stud 64mm X 0.75 Bmt 3600                         ,RONDO,16010
49104200,Stud 64mm X 0.75 Bmt 4200                         ,RONDO,16010
49104800,Stud 64mm X 0.75 Bmt 4800                         ,RONDO,16010
491302,76mm (w) x 36mm (h) Steel Stud 2400               ,RONDO,16010
49203000,Track 64mm X 0.70 Bmt 3000                        ,RONDO,16010
49302400,Stud 76mm X 0.75 Bmt 2400                         ,RONDO,16010
49302700,Stud 76mm X 0.75 Bmt 2700                         ,RONDO,16010
49302865,Stud 76mm X 0.75 Bmt 2865                         ,RONDO,16010
49302880,Stud 76mm X 0.75 Bmt 2880                         ,RONDO,16010
49302885,Stud 76mm X 0.75 Bmt 2885                         ,RONDO,16010
49302890,Stud 76mm X 0.75 Bmt 2890                         ,RONDO,16010
49303000,Stud 76mm X 0.75 Bmt 3000                         ,RONDO,16010
49303600,Stud 76mm X 0.75 Bmt 3600                         ,RONDO,16010
49304200,Stud 76mm X 0.75 Bmt 4200                         ,RONDO,16010
49304800,Stud 76mm X 0.75 Bmt 4800                         ,RONDO,16010
49306000,Stud 76mm X 0.75 Bmt 6000                         ,RONDO,16010
49403000,Track 76mm X 0.70 Bmt 3000                        ,RONDO,16010
49502400,Stud 92mm X 0.75 Bmt 2400                         ,RONDO,16010
49502700,Stud 92mm X 0.75 Bmt 2700                         ,RONDO,16010
49502725,Stud 92mm X 0.75 Bmt 2725                         ,RONDO,16010
49502730,Stud 92mm X 0.75 Bmt 2730                         ,RONDO,16010
49502735,Stud 92mm X 0.75 Bmt 2735                         ,RONDO,16010
49502740,Stud 92mm X 0.75 Bmt 2740                         ,RONDO,16010
49502770,Stud 92mm X 0.75 Bmt 2770                         ,RONDO,16010
49502775,Stud 92mm X 0.75 Bmt 2775                         ,RONDO,16010
49502800,Stud 92mm X 0.75 Bmt 2800                         ,RONDO,16010
49502850,Stud 92mm X 0.75 Bmt 2850                         ,RONDO,16010
49502865,92mm x 36mm Steel Stud - 0.75 BMT @ 2865mm        ,RONDO,16010
49502880,Stud 92mm X 0.75 Bmt 2880                         ,RONDO,16010
49502885,Stud 92mm X 0.75 Bmt 2885                         ,RONDO,16010
49502890,92mm x 36mm Steel Stud - 0.75 BMT @ 2890mm        ,RONDO,16010
49503000,Stud 92mm X 0.75 Bmt 3000                         ,RONDO,16010
49503200,Stud 92mm X 0.75 Bmt 3200                         ,RONDO,16010
49503600,Stud 92mm X 0.75 Bmt 3600                         ,RONDO,16010
49504100,92mm x 0.75bmt Stud 4100                          ,RONDO,16010
49504200,Stud 92mm X 0.75 Bmt 4200                         ,RONDO,16010
